"DOY","field","sensor","raw_smr","filename","date","depth_1","depth_2","depth_3","year","day","sm_mean","error"
"1772012","OD",4,0.26889909,"rz.mc_1772012.asc","2012-06-25",0.212566430394895,0.209096763350478,0.211263850762064,2012,177,0.210975681502479,0.0579234084975208
"1782013","OD",4,0.26316552,"rz.mc_1782013.asc","2013-06-27",0.218258187110863,0.176630683040455,0.175338725691179,2013,178,0.190075865280832,0.0730896547191676
"1802013","AES",4,0.18834295,"rz.mc_1802013.asc","2013-06-29",NA,0.226904534834157,0.234624427108071,2013,180,0.230764480971114,0.042421530971114
"1852013","OD",4,0.23411727,"rz.mc_1852013.asc","2013-07-04",0.202704486663719,0.175058917133417,0.168580326094755,2013,185,0.18211457663063,0.0520026933693698
"1862011","OD",4,0.22095369,"rz.mc_1862011.asc","2011-07-05",NA,NA,NA,2011,186,NA,NA
"1882012","AES",4,0.17638289,"rz.mc_1882012.asc","2012-07-06",NA,0.346376850625806,0.354652418127738,2012,188,0.350514634376772,0.174131744376772
"1882014","OD",4,0.2220324,"rz.mc_1882014.asc","2014-07-07",0.175429845664806,0.155386338344773,0.18238405509354,2014,188,0.171066746367706,0.0509656536322939
"1892013","AES",4,0.16631842,"rz.mc_1892013.asc","2013-07-08",NA,0.25620008851066,0.240518147548635,2013,189,0.248359118029648,0.0820406980296475
"1892014","AES",4,0.16468121,"rz.mc_1892014.asc","2014-07-08",NA,0.178469893447689,0.190414936408654,2014,189,0.184442414928171,0.0197612049281712
"1902011","AES",4,0.16771835,"rz.mc_1902011.asc","2011-07-09",NA,NA,NA,2011,190,NA,NA
"1922012","OD",4,0.23899499,"rz.mc_1922012.asc","2012-07-10",0.199945598307561,0.190960195484749,0.192048281246749,2012,192,0.19431802501302,0.0446769649869801
"1922014","OD",4,0.21479544,"rz.mc_1922014.asc","2014-07-11",0.173689145471083,0.152635149567522,0.159993753398293,2014,192,0.162106016145633,0.0526894238543671
"1952012","AES",4,0.16997443,"rz.mc_1952012.asc","2012-07-13",NA,0.375474842764991,0.362515367435884,2012,195,0.368995105100438,0.199020675100438
"1962011","OD",4,0.21222755,"rz.mc_1962011.asc","2011-07-15",NA,NA,NA,2011,196,NA,NA
"1962013","OD",4,0.2134211,"rz.mc_1962013.asc","2013-07-15",0.188830411451536,0.160476047828873,0.153662906708158,2013,196,0.167656455329522,0.0457646446704778
"1972012","OD",4,0.22945252,"rz.mc_1972012.asc","2012-07-15",0.194373605345295,0.18475687288791,0.184911518493558,2012,197,0.188013998908921,0.041438521091079
"2052013","OD",4,0.20937077,"rz.mc_2052013.asc","2013-07-24",0.188088408145423,0.154410573868041,0.145533988338722,2013,205,0.162677656784062,0.046693113215938
"2062014","AES",4,0.16410843,"rz.mc_2062014.asc","2014-07-25",NA,0.145155290818549,0.191225532780791,2014,206,0.16819041179967,0.00408198179967023
"2082013","AES",4,0.16000413,"rz.mc_2082013.asc","2013-07-27",NA,0.282415294952253,0.267620881877923,2013,208,0.275018088415088,0.115013958415088
"2122011","AES",4,0.16344852,"rz.mc_2122011.asc","2011-07-31",NA,NA,NA,2011,212,NA,NA
"2132012","OD",4,0.21411991,"rz.mc_2132012.asc","2012-07-31",0.189988625093275,0.165505115804457,0.164616960066596,2012,213,0.173370233654776,0.0407496763452241
"2152011","OD",4,0.20534857,"rz.mc_2152011.asc","2011-08-03",NA,NA,NA,2011,215,NA,NA
"2172012","OD",4,0.20962493,"rz.mc_2172012.asc","2012-08-04",0.189373978288719,0.162563526496336,0.163370279213736,2012,217,0.17176926133293,0.0378556686670697
"1342014","AES",5,0.29505604,"rz.mc_1342014.asc","2014-05-14",0.29248470937885,0.304116341064904,0.279797598970631,2014,134,0.292132883138128,0.00292315686187183
"1502014","OD",5,0.29632388,"rz.mc_1502014.asc","2014-05-30",NA,NA,NA,2014,150,NA,NA
"1552014","AES",5,0.22887757,"rz.mc_1552014.asc","2014-06-04",0.142606947848783,0.282100464005929,0.274868109630476,2014,155,0.233191840495063,0.00431427049506258
"1592013","AES",5,0.21900996,"rz.mc_1592013.asc","2013-06-08",0.171003109000332,0.308962766833107,0.284660195473774,2013,159,0.254875357102405,0.0358653971024046
"1652012","OD",5,0.31925179,"rz.mc_1652012.asc","2012-06-13",0.255868584517223,0.330021425969444,NA,2012,165,0.292945005243333,0.0263067847566665
"1662013","AES",5,0.18938284,"rz.mc_1662013.asc","2013-06-15",0.148365656317028,0.288232382684847,0.278490067739821,2013,166,0.238362702247232,0.0489798622472318
"1662013","OD",5,0.23267529,"rz.mc_1662013.asc","2013-06-15",0.229969036208286,0.290006656677809,NA,2013,166,0.259987846443047,0.0273125564430472
