date,field,sensor,sand_1,sand_2,sand_3,sand_4,sand_5,silt_1,silt_2,silt_3,silt_4,silt_5,clay_1,clay_2,clay_3,clay_4,clay_5,TN_1,TN_2,TN_3,TN_4,TN_5,TC_1,TC_2,TC_3,TC_4,TC_5
2012,J,6,,,,,,,,,,,,,,,,0.12032,0.11975,0.08864,0.04545,0.04893,1.6134,1.4748000000000001,0.78873,0.43433,0.27388
2012,J,7,,,,,,,,,,,,,,,,0.09012,0.05545,0.03394,0.03701,0.036449999999999996,0.98033,0.44198,0.26529,0.2294,0.22999
2012,J,8,,,,,,,,,,,,,,,,0.12031,0.06979,0.04443,0.04635,0.04478,1.3612,0.56516,0.37864,0.30219,0.32334
2012,J,9,,,,,,,,,,,,,,,,0.13231,0.07685,0.05549,0.03232,0.04939,1.5331,0.69176,0.38416,0.21102,0.28914
2012,J,10,,,,,,,,,,,,,,,,0.18058,0.09651,0.0556,0.05313,0.05168,2.1068,0.76838,0.39392,0.34207,0.41977
2012,J,11,,,,,,,,,,,,,,,,0.11213,0.08997,0.05372,0.04197,0.03689,1.299,1.04,0.63784,0.287,0.26036
2012,J,12,,,,,,,,,,,,,,,,0.11564,0.09732,0.0612,0.0387,0.0381,1.4797,1.0695,0.53726,0.26205,0.24239
2011,OD,1,9.72326678955525,8.30217386136326,7.68103787978333,7.61583243409647,,59.187807392466596,57.3945587241441,54.3930376911732,52.4996532722638,,31.08892581797813,34.3032674144926,37.9259244290435,39.8845142936397,,0.14998999999999998,0.13346,0.08514,0.05052,,1.8449333333333335,1.685,1.0008,0.44707,
2011,OD,2,6.994283690546791,7.36035282791961,7.18038124106417,7.1412882973295,8.48576981674284,54.32058088241047,54.2965926389823,56.2319012854415,52.442885575165,52.9735532285861,38.68513542704273,38.3430545330981,36.5877174734944,40.415826127505504,38.5406769546711,0.10088666666666667,0.06848,0.05235,0.02298,0.03015,1.10602,0.50121,0.35834,0.28105,0.22192
2011,OD,3,8.034756213902433,8.83712331299684,8.14463174443004,7.86628942252359,11.0254548486501,60.025838245559605,57.6144136876255,59.5881688651817,61.727764556075,63.4026187887137,31.93940554053793,33.5484629993777,32.2671993903883,30.4059460214014,25.5719263626362,0.15118333333333334,0.12259,0.13124,0.10225,0.09254,1.8129333333333333,1.53,1.5687,1.1298,0.8031
2011,OD,4,8.546924343247923,8.65534364255433,7.60026628466673,9.63154599629655,14.5248266685344,57.697318718855996,59.7276738222046,59.5306558479812,58.4001086513652,57.893876788757,33.7557569378961,31.6169825352411,32.8690778673521,31.9683453523382,27.5812965427086,0.14884,0.07192,0.04608,0.04623,0.05094,1.8030000000000002,0.62495,0.42265,0.3629,0.32414
2011,OD,5,6.990793092652793,6.04147009105547,9.34455138279118,8.21297757660588,,51.879233369697694,49.5120479316639,51.083371105472,62.3699247921277,,41.12997353764951,44.4464819772806,39.572077511736815,29.4170976312664,,0.12526,0.0477,0.04177,0.02942,,1.4160466666666667,0.47312,0.30234,0.38913,
2011,OD,6,8.891438133458445,8.39818276307189,9.52245132147554,9.53762286280668,10.7388228140502,60.29990198714824,63.3350656317582,58.1721218231685,58.3794499050141,58.5585734444132,30.8086598793933,28.266751605169897,32.3054268553559,32.0829272321793,30.7026037415365,0.11672333333333333,0.07405,0.06172,0.04235,0.06639,1.32793,0.71046,0.40893,0.34667,0.34697
2011,OD,7,9.741497889450978,10.9714277658537,12.7248696933941,15.7626957959823,14.2141539185853,61.4275895617938,57.9057366504892,61.0873116267858,58.8836337206247,65.3587983397201,28.830912548755265,31.1228355836572,26.187818679820204,25.353670483393,20.4270477416947,0.14893,0.13685,0.13108,0.10463,0.09629,1.8186,1.7086,1.5887,1.2758,0.97018
2011,OD,8,9.146344659565868,9.30636411183769,8.74015825882333,9.61124573937345,8.11315792170347,56.03297688430214,57.1905199790794,54.5435969771973,54.9790233371584,57.9657670643775,34.82067845613199,33.5031159090829,36.7162447639793,35.409730923468196,33.921075013919,0.13911333333333334,0.07094,0.04412,0.04236,0.03978,1.7397333333333336,0.69151,0.4205,0.32839,0.31402
2011,OD,9,8.440022882986517,7.26397117184713,7.13312944595586,7.38092020692367,7.46468302283295,52.50816306018343,52.2778192681098,49.1019380565368,48.8550253110599,52.204079590374,39.05181405683003,40.45820956004311,43.7649324975074,43.7640544820165,40.3312373867931,0.12946333333333335,0.08054,0.05517,0.03157,0.04091,1.3190266666666668,0.6801,0.40445,0.35358,0.28876
2011,OD,10,9.6838118719314,7.49047359825801,8.59537975548944,8.42495814669002,8.46535759075055,52.91432035421044,54.2258591321762,46.5600600232104,51.4421554193526,56.4861103952996,37.401867773858164,38.2836672695658,44.8445602213002,40.1328864339574,35.0485320139498,0.12310333333333334,0.0577,0.03957,0.04734,0.03722,1.3626633333333331,0.47888,0.36267,0.27953,0.25403
2011,OD,11,10.13313848500958,9.63606554024345,9.17432461877421,10.5489605671428,12.5560298290945,60.86112134010437,59.0366661326555,59.6611248110725,64.5716014096992,68.9906441466585,29.005740174885965,31.327268327101,31.1645505701533,24.879438023158002,18.453326024247,0.14445666666666668,0.13166,0.12723,0.07577,0.0382,1.8146666666666667,1.8618,1.7977,0.96962,0.50863
2011,OD,12,7.522842870093086,7.44376334744371,7.02255190691099,6.81608800742461,8.21183540777152,60.1404712513934,53.0609560663586,54.9139435850523,54.1887495453111,52.8152764341309,32.3366858785135,39.4952805861977,38.0635045080367,38.9951624472643,38.9728881580976,0.10285333333333334,0.04858,0.03456,,0.02108,1.2111366666666668,0.51383,0.33473,,0.24253
2012,OD,1,,,,,,,,,,,,,,,,0.14019,0.14013,0.08585,0.0696,0.04945,1.8192,1.7247,1.0539,0.54107,0.34114
2012,OD,2,,,,,,,,,,,,,,,,0.12553,0.07267,0.05368,0.04564,,1.4381,0.55145,0.3652,0.35077,
2012,OD,3,,,,,,,,,,,,,,,,0.14194,0.12777,0.13469,0.10299,0.07768,1.7088,1.6394,1.6971,1.0049,0.6901
2012,OD,4,,,,,,,,,,,,,,,,0.15618,0.08336,0.05939,,,1.8082,0.8189,0.49717,,
2012,OD,5,,,,,,,,,,,,,,,,0.1302,0.07749500000000001,0.04653,,,1.5464,0.72012,0.33702,,
2012,OD,6,,,,,,,,,,,,,,,,0.131,0.07186,0.06803,0.06649,,1.4036,0.54737,0.52373,0.46289,
2012,OD,7,,,,,,,,,,,,,,,,0.15909,0.14651,0.139,0.13226,0.11202,1.9963,1.8776,1.7177,1.3724,1.0658
2012,OD,8,,,,,,,,,,,,,,,,0.15748,0.09193,0.06571,0.04909,,2.0005,0.87314,0.46843,0.39365,
2012,OD,9,,,,,,,,,,,,,,,,0.13868,0.0854,0.06014,0.03439,,1.7427,0.9147,0.48344,0.36073,
2012,OD,10,,,,,,,,,,,,,,,,0.14385,0.07205,0.06983,,,1.9176,0.61351,0.55956,,
2012,OD,11,,,,,,,,,,,,,,,,0.16002,0.13767,0.13627,0.09235,0.05638,1.9358,1.9393,1.7922,1.0382,0.6321
2012,OD,12,,,,,,,,,,,,,,,,0.11871,0.05525,0.05232,0.04358,,1.4039,0.48954,0.3699,0.30002,
2011,W,1,8.51895045352193,12.755848226586775,8.04752475247524,7.64403608894359,7.10502365900363,59.69275428560192,56.42939773507089,51.3473956091264,50.6422465265924,53.62939923217079,31.788295260876097,30.8147540383423,40.6050796383984,41.7137173844641,39.2655771088256,0.14416333333333334,0.0686,0.05091,0.05084,0.0445,1.8669333333333331,0.63564,0.43242,0.40794,0.34082
2011,W,2,8.206205533256849,8.1799339622964,8.85723724766938,8.02140293988301,8.76216729581748,60.02558665197814,62.0768072443428,61.203012128211,56.8641470545783,54.4121126094158,31.768207814765002,29.7432587933608,29.9397506241197,35.1144500055387,36.8257200947667,0.12657666666666667,0.07494,0.04093,0.05243,0.05146,1.4975666666666667,0.71748,0.38386,0.3892,0.3751
2011,W,3,15.543499840865465,9.8232649876897,11.1554924455255,10.8194741086403,11.9775802372949,52.291137977890465,57.4481666233249,45.9363837271454,47.0690649957993,47.5194191548597,32.16536218124407,32.7285683889854,42.9081238273292,42.1114608955604,40.5030006078455,0.10883,0.06159,0.03944,0.04787,0.03797,1.3419299999999998,0.4786,0.37341,0.30241,0.2771
2011,W,4,8.689060627559419,12.3358705176886,9.97048583496824,6.62603711183399,9.31384233351228,64.10110112814627,60.5831514922434,52.2771857271612,49.8602835938159,56.81514975790499,27.209838244294332,27.0809779900679,37.7523284378706,43.5136792943501,33.8710079085827,0.15093333333333334,0.11013,0.05846,0.05276,0.03549,2.0624333333333333,1.3977,0.53126,0.33537,0.26665
2011,W,5,7.817042243505533,11.0433746277831,8.77238726368288,9.7988106467066,9.37220890735719,60.3085021980568,62.439681138614,51.8094360898442,59.0619728118845,47.7955756332233,31.874455558437663,26.516944233602903,39.4181766464729,31.1392165414089,42.8322154594195,0.15506333333333333,0.08579,0.05819,0.04184,0.05677,2.0160666666666667,0.77282,0.39963,0.38698,0.43406
2011,W,6,8.430347674263604,10.9806829507226,8.86499793117594,8.01423908206839,9.64104996286001,59.3870657348997,64.288119623523,53.92850561364,53.7362305155207,51.5426168165633,32.1825865908367,24.7311974257544,37.2064964551841,38.2495304024109,38.8163332205767,0.15840666666666667,0.04846,0.06599,0.04319,0.04634,2.0004666666666666,0.4947,0.43597,0.34985,0.32223
2011,W,7,9.949091122504317,7.78293609810378,10.3382726173008,26.401428067278097,,59.552765548535234,42.5143636381868,50.3529108794148,42.5199494283271,,30.498143328960463,49.7027002637094,39.3088165032844,31.078622504394897,,0.12949666666666668,0.05506,0.03404,0.04214,,1.60538,0.4509,0.32606,0.36622,
2011,W,8,11.822743575097975,12.3577396339938,6.69548404077619,8.07218816939114,7.67819308009694,58.16690420420571,60.06058960242899,48.6588448079798,51.4989186261889,46.2610964116383,30.010352220696333,27.581670763577197,44.645671151244,40.42889320442,46.0607105082647,0.1535133333333333,0.07156,0.0446,0.04302,0.02586,2.158,0.81945,0.39623,0.26385,0.23609
2011,W,9,9.722780512558257,7.05892097280177,5.60991954869921,5.32216941891298,6.53903640628779,55.208650350843556,56.1497233927266,56.6126434903799,42.1004415494297,50.7978877339445,35.06856913659821,36.7913556344716,37.7774369609208,52.5773890316573,42.6630758597678,0.10792666666666666,0.08487,0.15007,0.03155,0.03553,1.3632666666666668,0.79405,1.9557,0.37142,0.25385
2011,W,10,8.338833057428966,7.43151595056247,7.94284117347992,5.83688492177501,8.44312913765677,55.16503169450435,56.499125074635,51.3136496328247,47.5873420374,51.1487075970373,36.49613524806669,36.0693589748025,40.7435091936954,46.575773040825,40.4081632653059,0.128015,0.08064,0.06054,0.03842,0.02897,1.5343,0.71468,0.44346,0.32551,0.24317
2011,W,11,7.762046086563276,9.58324092870922,6.27869763681377,6.619117473485389,8.23472695536529,58.52566866595037,59.33229840154141,56.0225033266526,49.8423457601979,52.3314770177039,33.712285247486335,31.084460669749404,37.6987990365336,43.5385367663167,39.4337960269308,0.14864666666666668,0.08302,0.06051,0.05324,0.0444,1.8048333333333335,0.76527,0.43284,0.42643,0.33913
2011,W,12,9.055450367661626,8.45967304014641,9.6648491199404,6.666960265865429,6.688098905301949,57.67851146459924,59.49630509057751,45.6814024119496,49.2230348897478,48.6187921451875,33.26603816773913,32.0440218692761,44.65374846811,44.1100048443868,44.6931089495105,0.13940333333333332,0.06278,0.04038,0.04182,0.0463,1.6613,0.47765,0.35624,0.34137,0.39302
